epoch,train_loss,train_accuracy,test_accuracy
0,0.07415220803835176,0.012286211993243243,0.01794059405940594
1,0.07052938652986829,0.021114864864864864,0.03647524752475247
2,0.06759742969139056,0.047416068412162164,0.06293069306930693
3,0.0640212157131596,0.07746516047297297,0.10348514851485148
4,0.06029723285612734,0.11415223817567567,0.12051485148514851
5,0.056669692952524525,0.15378220016891891,0.19188118811881189
6,0.05237279228866099,0.20728198902027026,0.251009900990099
7,0.0482135838710449,0.2589870143581081,0.2738613861386139
8,0.044315520499578924,0.3071552998310811,0.3179009900990099
9,0.04105782029811632,0.3536739864864865,0.32154455445544555
10,0.03827943436970765,0.3909153293918919,0.35398019801980196
11,0.03579961265860634,0.42390730574324326,0.425029702970297
12,0.03348584000190551,0.45795502533783783,0.439009900990099
13,0.031486780934713104,0.4893237964527027,0.3808712871287129
14,0.029754811667583207,0.5095016891891891,0.47885148514851483
15,0.028155004930767145,0.5338497677364865,0.46241584158415844
16,0.026861001002517614,0.5523648648648649,0.5173069306930693
17,0.025766582927581938,0.5693359375,0.46261386138613864
18,0.024802697174759077,0.5844594594594594,0.5
19,0.02392043555832722,0.5945154138513513,0.5254257425742574
20,0.023168713541870768,0.6077781883445946,0.4864158415841584
21,0.022325202390890232,0.619114231418919,0.5322376237623763
22,0.02163504927165129,0.629222972972973,0.5253069306930693
23,0.02108061746609482,0.6354914484797297,0.514970297029703
24,0.020318830933591183,0.646999049831081,0.5493861386138614
25,0.020009485331617973,0.6512748099662162,0.5341782178217822
26,0.019446787404912437,0.659839527027027,0.5077623762376238
27,0.018971341248093684,0.6691564611486487,0.5088316831683168
28,0.018593980056995696,0.671360325168919,0.540950495049505
29,0.018225532533092934,0.6783282305743243,0.5428118811881188
30,0.007450679526240988,0.8763064822635135,0.694019801980198
