epoch,train_loss,train_accuracy,test_accuracy
0,0.07258716490458358,0.01681271114864865,0.026772277227722772
1,0.06917478889904238,0.03209459459459459,0.052
2,0.06654558307067913,0.05518897804054054,0.06657425742574258
3,0.06359928525984286,0.08552839949324324,0.1076039603960396
4,0.059551571590656584,0.13054265202702703,0.15267326732673267
5,0.05541569280014797,0.17421083192567569,0.17976237623762376
6,0.05123504346405917,0.22113861908783783,0.18475247524752475
7,0.04734287001531232,0.26749894425675674,0.2306930693069307
8,0.043762858679348766,0.31231524493243246,0.2805544554455446
9,0.0404382773251696,0.35315931165540543,0.286019801980198
10,0.03753614347597415,0.3937790329391892,0.3656237623762376
11,0.03483742496676066,0.42934438344594594,0.36388118811881187
12,0.03274974182417447,0.4616897170608108,0.35168316831683166
13,0.030797175919129085,0.4850876266891892,0.4137029702970297
14,0.028943029293282466,0.5119035050675675,0.32463366336633664
15,0.027405719467523418,0.5342324746621622,0.32645544554455447
16,0.025997415654022592,0.5519689611486487,0.4381782178217822
17,0.02457954928448254,0.5737172719594594,0.4093465346534653
18,0.023479313899508927,0.5893158783783784,0.43445544554455445
19,0.022557589628479698,0.603832347972973,0.3831683168316832
20,0.021632925381206654,0.6168443834459459,0.4318811881188119
21,0.020823258359662512,0.6280484586148649,0.4809108910891089
22,0.020044207108122377,0.642063450168919,0.4248316831683168
23,0.019455335541543637,0.6480547930743243,0.47227722772277225
24,0.0186934398825873,0.6601034628378378,0.3787722772277228
25,0.018280028865926647,0.6673485008445946,0.4464950495049505
26,0.017679389039562506,0.6759660050675675,0.4103366336633663
27,0.017402007861740208,0.6804397170608109,0.3984554455445545
28,0.01708376540252092,0.683910472972973,0.4865346534653465
29,0.016556012609296223,0.6932274070945946,0.4607524752475248
30,0.005440793081969869,0.9109876478040541,0.640039603960396
