epoch,train_loss,train_accuracy,test_accuracy
0,0.0732524269616062,0.011402027027027027,0.012594059405940595
1,0.07187564973126759,0.014305320945945946,0.022574257425742573
2,0.06976345912299374,0.02805637668918919,0.03314851485148515
3,0.06785683983767575,0.04344383445945946,0.04554455445544554
4,0.06541091811589218,0.06504698057432433,0.06514851485148515
5,0.06078057376159863,0.11164484797297297,0.14962376237623762
6,0.05458275129171936,0.18123152449324326,0.19536633663366337
7,0.04965834408659826,0.24084142736486486,0.2043168316831683
8,0.04565698412331669,0.2894847972972973,0.2322772277227723
9,0.0422286839072,0.3330342060810811,0.22201980198019802
10,0.0391288258050653,0.37366712415540543,0.3129108910891089
11,0.03629244285381653,0.41072371199324326,0.2594059405940594
12,0.033822562013837425,0.4443491342905405,0.37394059405940594
13,0.03157836159013889,0.47596864442567566,0.40542574257425745
14,0.02961225341328166,0.5041173986486487,0.4214257425742574
15,0.0279790968363258,0.5279771959459459,0.4590891089108911
16,0.026231781764125283,0.5530115076013513,0.3613069306930693
17,0.024781374497000463,0.5728726773648649,0.3962772277227723
18,0.023522999687966974,0.5912690033783784,0.4516039603960396
19,0.02234580558301373,0.6083324535472973,0.4718019801980198
20,0.021444970397278666,0.6220175253378378,0.40879207920792077
21,0.020456261413002556,0.6374709670608109,0.4820990099009901
22,0.019706673078577628,0.6496779983108109,0.4766336633663366
23,0.018913183437491005,0.6593644425675675,0.4563960396039604
24,0.01826129528778521,0.6689453125,0.48815841584158415
25,0.017728179793974216,0.6789880701013513,0.4798415841584158
26,0.01719606209122999,0.6859295819256757,0.4692277227722772
27,0.01665458328894932,0.695827174831081,0.4867326732673267
28,0.016324531739916312,0.7020956503378378,0.5031683168316832
29,0.015772718715227462,0.7103964315878378,0.5208316831683169
30,0.005248000949663533,0.9186549831081081,0.6844356435643565
