epoch,train_loss,train_accuracy,test_accuracy
0,0.07086219460449435,0.03003589527027027,0.05192079207920792
1,0.064957980601625,0.0697582347972973,0.09675247524752476
2,0.060079755478284584,0.11622413429054054,0.1483168316831683
3,0.05598537626252933,0.16374577702702703,0.19774257425742575
4,0.05195323845202273,0.21248152449324326,0.1805940594059406
5,0.04786216407336973,0.26177153716216217,0.266970297029703
6,0.04408487088300966,0.3135161528716216,0.29996039603960395
7,0.04059717913412235,0.35812130489864863,0.3401980198019802
8,0.03759690982204947,0.3996779983108108,0.3689108910891089
9,0.03501651315018534,0.4382786106418919,0.39302970297029705
10,0.03288089774210345,0.46795819256756754,0.4415049504950495
11,0.030943683355369355,0.4934279983108108,0.42158415841584157
12,0.029243500425734304,0.5184491131756757,0.45152475247524754
13,0.02778551416640932,0.5384290540540541,0.4001980198019802
14,0.026348940176381307,0.5616158150337838,0.42324752475247523
15,0.025050235268744555,0.5800649282094594,0.42364356435643563
16,0.024051078737459396,0.5937895903716216,0.4627722772277228
17,0.023000845821066332,0.6111037795608109,0.44594059405940595
18,0.022204785716973922,0.6212389146959459,0.4572673267326733
19,0.021339520304040474,0.632350612331081,0.4434059405940594
20,0.020603055923499845,0.6445180532094594,0.5272079207920792
21,0.01996992189521817,0.652660472972973,0.4864158415841584
22,0.019294853485612707,0.6632706925675675,0.5152079207920792
23,0.018700035322796217,0.6723764780405406,0.578019801980198
24,0.018383011018688028,0.6754381334459459,0.5188118811881188
25,0.017913952109996568,0.6853885135135135,0.5595643564356436
26,0.017246253287673676,0.6933461782094594,0.538970297029703
27,0.0169658386961303,0.6991527660472973,0.5423762376237624
28,0.016696839901957323,0.7020692567567568,0.4827326732673267
29,0.016512607943943956,0.7043127111486487,0.5264950495049505
30,0.006129712735366246,0.8983319256756757,0.7158415841584158
